freq_hz,noise,sigma_n,opt sigma_n,mean_err_sindy_train,mean_err_gpsindy_train,mean_err_sindy_test,mean_err_gpsindy_test
25,0,0.1,1,24.18497645,31.65327906,12.36539951,13.54093181
25,0,0.2,0,24.18497645,32.65683008,12.36539951,12.43419943
25,0,0.2,1,24.18497645,31.4539227,12.36539951,12.94078175
25,0.01,0.01,0,27.34014189,27.63419004,14.94035429,14.5200494
25,0.01,0.01,1,27.34014189,78.56560977,14.94035429,58.51308212
25,0.01,0.02,0,27.34014189,25.3239886,14.94035429,14.90413956
25,0.01,0.02,1,27.34014189,84.82711638,14.94035429,15568.24792
25,0.01,0.1,0,27.34014189,29.62855436,14.94035429,12.8294019
25,0.01,0.1,1,27.34014189,31.24698185,14.94035429,15.5209292
25,0.01,0.2,0,27.34014189,35.01219735,14.94035429,13.26267331
25,0.01,0.2,1,27.34014189,32.58278208,14.94035429,15.87414523
25,0.02,0.01,0,31.32518175,30.40246795,14.58799959,15.29544954
25,0.02,0.01,1,31.32518175,NaN,14.58799959,NaN
25,0.02,0.02,0,31.32518175,27.9782896,14.58799959,14.92231129
25,0.02,0.02,1,31.32518175,64.83195922,14.58799959,37.08694196
25,0.02,0.1,0,31.32518175,31.90569777,14.58799959,15.07753714
25,0.02,0.1,1,31.32518175,39.12144887,14.58799959,23.73848375
25,0.02,0.2,0,31.32518175,31.26479703,14.58799959,11.37429373
25,0.02,0.2,1,31.32518175,37.43412732,14.58799959,23.38382945
50,0,0.01,0,39.40110639,37.44605761,16.07331836,107464.7624
50,0,0.01,1,39.40110639,148.8725759,16.07331836,114.3234821
50,0,0.02,0,39.40110639,39.17033734,16.07331836,14.86076779
50,0,0.02,1,39.40110639,88.52189076,16.07331836,653.3393849
50,0,0.1,0,39.40110639,42.27848757,16.07331836,15.15824609
50,0,0.1,1,39.40110639,37.12116867,16.07331836,17.16444353
50,0,0.2,0,39.40110639,43.45909739,16.07331836,13.17988665
50,0,0.2,1,39.40110639,37.05417453,16.07331836,17.14244161
50,0.01,0.01,0,41.89130524,42.26588286,20.89820915,16.3019478
50,0.01,0.01,1,41.89130524,NaN,20.89820915,NaN
50,0.01,0.02,0,41.89130524,39.3739607,20.89820915,15.96358903
50,0.01,0.02,1,41.89130524,104.8404627,20.89820915,3.30E+08
50,0.01,0.1,0,41.89130524,45.9978522,20.89820915,396.910254
50,0.01,0.1,1,41.89130524,45.63832136,20.89820915,41.6490783
50,0.01,0.2,0,41.89130524,42.86203891,20.89820915,16.31120523
50,0.01,0.2,1,41.89130524,34.06044263,20.89820915,12.90650558
50,0.02,0.01,0,36.61306987,36.35354026,21.09310928,18.76803047
50,0.02,0.01,1,36.61306987,115.4210806,21.09310928,86.32675176
50,0.02,0.02,0,36.61306987,35.97006226,21.09310928,19.61392074
50,0.02,0.02,1,36.61306987,NaN,21.09310928,NaN
50,0.02,0.1,0,36.61306987,43.76994124,21.09310928,19.66334494
50,0.02,0.1,1,36.61306987,151.9933204,21.09310928,3.20E+13
50,0.02,0.2,0,36.61306987,45.96427383,21.09310928,17.35985466
