noise_vec,Ξ_sindy_err,Ξ_gpsindy_err,Ξ_nn_err,x_sindy_err,x_gpsindy_err,x_nn_err
0.05,2.3033424137654612,1.323724086977095,1.6021582346155998,NaN,241.5824111027611,NaN
0.05,2.206184010452597,1.3696020745163582,1.8667984478117303,310.00231663446147,217.29728953169237,NaN
0.05,2.4267303861051843,1.4062338146118447,1.7016082587727284,NaN,NaN,NaN
0.1,2.6018655370997177,1.299157682390415,1.8226585918989269,NaN,NaN,NaN
0.1,2.80347124313512,1.3184723973054773,1.9896668850794852,NaN,NaN,308.6097723600729
0.1,2.6432224243407534,1.5015067350386628,1.4324239700327026,NaN,NaN,NaN
