noise_vec,Ξ_sindy_err,Ξ_gpsindy_err,Ξ_nn_err,x_sindy_err,x_gpsindy_err,x_nn_err
0.05,2.2762019426792635,1.3741219526919846,1.8660147760768155,285.2329125403924,NaN,186.69182680357437
0.05,2.4314697249765964,1.3831788699682899,1.6350966606887471,NaN,NaN,NaN
0.05,2.4126582134592325,1.3332322271370611,1.582152116005441,NaN,NaN,NaN
0.05,2.269510189579642,1.453915328242686,1.7103475309773166,226.05137271432574,NaN,NaN
0.05,2.1884978684148515,1.4284017943454395,1.6554068030523794,NaN,NaN,NaN
0.1,2.8109862204240152,1.4206020207790953,1.6205378248674631,NaN,NaN,146.74011777391593
0.1,2.621904135408139,1.5848775828753183,1.7600082273574158,NaN,NaN,NaN
0.1,2.7824451270859316,1.452670093921975,1.893044517028136,NaN,NaN,NaN
0.1,2.5189924330316984,1.4102527988316975,1.7553057163874006,NaN,NaN,NaN
0.1,2.5292527428059586,1.36772955554626,1.7135997803190817,NaN,NaN,134.29840496138908
0.15,3.1904630667699343,1.506070835270051,1.6972970974156478,NaN,NaN,NaN
0.15,3.2482452322314517,1.2542756648310895,1.9178141892060825,NaN,NaN,172.88757598381804
0.15,3.655418604309273,1.225558485873063,1.9038275249046743,NaN,NaN,NaN
0.15,3.5458391793836443,1.4226252425066868,1.6516489490523678,NaN,NaN,NaN
0.15,3.495664587912765,1.3126107965939056,1.9594037070916075,NaN,NaN,NaN
0.2,4.80904811682245,1.5247081094425112,2.202197154997496,NaN,NaN,128.8600358497593
0.2,6.089958051398898,1.2250500900913213,2.2488737772390786,NaN,NaN,NaN
0.2,3.818717670438028,1.6094114692359918,1.9363530988121451,NaN,NaN,NaN
0.2,4.3874119589826375,1.707999243108758,2.212954074646009,NaN,NaN,213.22136350284893
0.2,4.477270224398394,1.403182270499369,2.014506059273254,NaN,NaN,2.7262826869385607e79
0.25,6.41149311897276,1.572176358606102,2.2124057015423646,NaN,NaN,NaN
0.25,7.237154832709934,1.6826470938626623,2.1816323264433,NaN,NaN,NaN
0.25,5.488991050592414,1.7060000428574182,2.003230967718679,NaN,NaN,146.84586537406696
0.25,6.267770976558608,1.5926768171222188,2.161979409620923,NaN,NaN,NaN
0.25,6.629598191256151,1.316954267166955,2.2943409020672356,NaN,NaN,NaN
