t,x1_sindy,x2_sindy,x1_gpsindy,x2_gpsindy,x1_nn,x2_nn
24.0,4.054025071144759,10.800044374398565,4.054025071144759,10.800044374398565,4.054025071144759,10.800044374398565
24.1,2.752091457019953,11.468041411299868,2.7518461231098863,11.489417495735843,2.744424586306735,11.425839546587953
24.2,1.7950176159935278,11.586112245925205,1.7923387918847182,11.639669372668344,1.7926723574129806,11.55844834409899
24.3,1.1623332880721948,11.264691776709135,1.1566586651325337,11.324184803912296,1.201494072167932,11.30513285988026
24.4,0.7675353151467901,10.668689470967811,0.7609735711207403,10.710741417810858,0.8566393357202899,10.796729439403238
24.5,0.5250616495769324,9.936836882922208,0.5192520289619746,9.953396510892434,0.6610660693547462,10.153525612660115
24.6,0.37449954812299907,9.159568362590107,0.36998376251256115,9.151731381081525,0.553062371580994,9.456192457860398
24.7,0.27870971805592043,8.388442880648428,0.27544483988299734,8.360578132944372,0.49134207172989713,8.752383778459464
24.8,0.21598462434826668,7.650435219355495,0.2137466636116021,7.607424433001034,0.45012792021925363,8.069399341044061
24.9,0.17372739479347266,6.958392538944742,0.17228370243722663,6.904631656938315,0.4175547307784394,7.4226090029815115
25.0,0.14452821508750358,6.3173495573822,0.14368878069958818,6.256484508040971,0.390765620389603,6.8198510564272645
25.1,0.12392828465312902,5.728098931952084,0.12355117580099134,5.663031383443598,0.37029708544685,6.26378876872968
25.2,0.10917419387267976,5.189174301221498,0.10915764930278948,5.122153818085709,0.3567179194215878,5.753613324097103
25.3,0.09852098466065229,4.6979536412733145,0.09879370451210732,4.630687468396553,0.34949996129093985,5.286504435377964
25.4,0.09083564278148887,4.251277935714338,0.09134861078296684,4.185034117806076,0.34711621652414126,4.858755026080568
25.5,0.0853664929570962,3.845800144310455,0.08608684935166831,3.781496670462335,0.3476190703182804,4.466495226335861
25.6,0.0816058456930299,3.4781816858706973,0.08251251615273589,3.416460714407688,0.3492503529842224,4.106094742908163
25.7,0.07920621344778002,3.145201229307038,0.08028686107121819,3.0864896899295853,0.35083000239315165,3.774359056625619
25.8,0.07792802375216337,2.843812289014459,0.07917694899210126,2.7883707934630335,0.3518529410880228,3.46859763990965
25.9,0.07760628987412571,2.5711706028657817,0.0790229965430323,2.5191326148273983,0.35236873059634904,3.186606039235637
26.0,0.07812895642144763,2.324643592207127,0.07971718393998704,2.276046609704586,0.35277232022515853,2.926591543790918
26.1,0.07942259655868493,2.1018092460511815,0.08118968040847284,2.0566194948505734,0.35360783503780735,2.6870720385220674
26.2,0.08144283934589433,1.9004488803331643,0.08339930547675745,1.858580767396965,0.3554325748142873,2.466774971426187
26.3,0.08416790536362025,1.718536502661928,0.08632723451919032,1.6798678564566947,0.3587451484046979,2.2645546714513807
26.4,0.08759422823329278,1.554226470192302,0.08997274679751155,1.5186104051571243,0.36396133583733653,2.0793354646907556
26.5,0.09173350632303195,1.405840485597275,0.09435037437716028,1.373114570069593,0.37141796192528076,1.9100795241647388
26.6,0.09661075755575328,1.2718545743518885,0.09948803449994381,1.2418478511449575,0.3813895002384342,1.7557738603620077
26.7,0.10226309543202418,1.1508864323938237,0.10542587021974263,1.1234247348918247,0.39410802432249953,1.615429754706299
26.8,0.10873903824891053,1.041683371049288,0.11221561598311285,1.0165932911906677,0.4097817884410566,1.4880888439235624
26.9,0.11609822525461919,0.9431109820945061,0.11992036525530016,0.920222776467462,0.4286106399753643,1.3728317136749932
27.0,0.12441145483194654,0.8541425790694841,0.12861465774340666,0.8332922425779608,0.4507979979433402,1.2687864793425194
27.1,0.13376098800091568,0.7738494283558912,0.13838483135857488,0.7548801190528539,0.4765597887416214,1.175136089312227
27.2,0.14424108013505818,0.7013917567190727,0.14932960325563827,0.6841547184025678,0.5061309131563697,1.0911239261447483
27.3,0.15595871771235287,0.6360105056029723,0.1615608579443915,0.6203656049554138,0.5397697795958399,1.016057774184604
27.4,0.16903454706219972,0.5770197929321699,0.17520463043063572,0.56283576398908,0.5777613133144694,0.9493124720522532
27.5,0.18360398966861177,0.5238000381914226,0.1904022798337753,0.510954507642157,0.6204187039382869,0.8903316680509213
27.6,0.19981854447777672,0.4757917045709552,0.2073118547525444,0.4641710559195704,0.6680840079906948,0.838629114350206
27.7,0.21784728239781176,0.43248961194551766,0.22610965636086638,0.42198873416453153,0.7211275835329419,0.7937899164465902
27.8,0.2378785421560792,0.3934377756969452,0.24699200918898215,0.38395973209906864,0.7799461952758895,0.75547212367847
27.9,0.26012184016394224,0.3582247284202772,0.2701772530434744,0.34968037357527,0.844959481075365,0.7234090170600322
28.0,0.2848100102203437,0.3264792840537921,0.29590797272893804,0.3187868503035063,0.916604302888401,0.6974124256802894
28.1,0.3122015918998176,0.2978667067308195,0.32445348528579443,0.29095137689429673,0.9953263039567085,0.6773773784579151
28.2,0.34258348941543776,0.27208524952603363,0.35611260744784046,0.2658787284884115,1.0815677452969195,0.6632883632315356
28.3,0.37627392569284734,0.2488630311734989,0.3912167290164873,0.2433031260176887,1.1757503850444369,0.6552274007363886
28.4,0.4136257193870157,0.2279552217171149,0.43013322089193035,0.22298543772721596,1.278251783852735,0.6533840168252022
28.5,0.4550299156501274,0.2091415108933954,0.4732692096218938,0.2047106690094282,1.3893729685546083,0.6580669685508647
28.6,0.5009198046317545,0.19222383584079983,0.5210757535353734,0.18828571588052423,1.5092948877703336,0.6697171903177068
28.7,0.5517753649588918,0.17702434749687251,0.5740524588123195,0.1735373606125612,1.638020615992723,0.6889208088568425
