freq_hz,noise,σn,opt_σn,mean_err_sindy_train,mean_err_gpsindy_train,mean_err_sindy_test,mean_err_gpsindy_test
5.0,0.01,0.001,0.0,37.88067059716979,26.93131036346949,35.716775118622714,30.813597273412384
5.0,0.01,0.002,0.0,37.88067059716979,29.313060086010157,35.716775118622714,38.44882140493939
5.0,0.01,0.003,0.0,37.88067059716979,31.937601767354476,35.716775118622714,28.017845221021528
5.0,0.01,0.01,0.0,37.88067059716979,23.04259373108796,35.716775118622714,24.631231085558735
5.0,0.01,0.02,0.0,37.88067059716979,17.27412578187779,35.716775118622714,16.371875399716536
5.0,0.01,0.03,0.0,37.88067059716979,19.78583196893857,35.716775118622714,177.44373268704715
5.0,0.01,0.1,0.0,37.88067059716979,33.2181885333589,35.716775118622714,47.72680691962785
5.0,0.01,0.2,0.0,37.88067059716979,38.58271330536759,35.716775118622714,29.0155095497492
5.0,0.01,0.3,0.0,37.88067059716979,38.75805691139463,35.716775118622714,39.731926681965604
5.0,0.02,0.001,0.0,36.58103424069629,28.758586509560995,20.520701471050838,252.87452769566383
5.0,0.02,0.002,0.0,36.58103424069629,32.22881140667983,20.520701471050838,213.8138220572055
5.0,0.02,0.003,0.0,36.58103424069629,36.989072319940114,20.520701471050838,165.83614031407527
5.0,0.02,0.01,0.0,36.58103424069629,35.475261106318754,20.520701471050838,66.51686560329006
5.0,0.02,0.02,0.0,36.58103424069629,18.312250370470373,20.520701471050838,13.159898911324255
5.0,0.02,0.03,0.0,36.58103424069629,19.36853358405907,20.520701471050838,985.6408480073268
5.0,0.02,0.1,0.0,36.58103424069629,32.61508419024328,20.520701471050838,34.18845311051083
5.0,0.02,0.2,0.0,36.58103424069629,39.414248068725264,20.520701471050838,31.229960940361376
5.0,0.02,0.3,0.0,36.58103424069629,37.887735200927864,20.520701471050838,29.967442707228262
5.0,0.0,0.01,0.0,39.64112196875073,24.389190827920878,23.064619010041568,39.13474489392586
5.0,0.0,0.02,0.0,39.64112196875073,23.955398576663402,23.064619010041568,17.942141555733638
5.0,0.0,0.03,0.0,39.64112196875073,19.513181702949904,23.064619010041568,3660.5780483866215
5.0,0.0,0.04,0.0,39.64112196875073,40.537413653872285,23.064619010041568,25.743615422052525
